test,frame,latency_ms
polling,104,0.000
polling,105,0.000
polling,106,0.000
polling,107,0.000
polling,108,0.000
polling,109,0.000
polling,110,0.000
polling,111,0.000
polling,112,0.000
polling,113,0.000
polling,114,0.000
polling,115,0.000
polling,116,0.000
polling,117,0.000
polling,118,0.000
polling,119,0.000
polling,120,0.000
polling,121,0.000
polling,122,0.000
polling,123,0.000
polling,124,0.000
polling,125,0.000
polling,126,0.000
polling,127,0.000
polling,128,0.000
polling,129,0.000
polling,130,0.000
polling,131,0.000
polling,132,0.000
polling,133,0.000
polling,134,0.000
polling,135,0.000
polling,136,0.000
polling,137,0.000
polling,138,0.000
polling,139,0.000
polling,140,0.000
polling,141,0.000
polling,142,0.000
polling,143,0.000
polling,144,0.000
polling,145,0.000
polling,146,0.000
polling,147,0.000
polling,148,0.000
polling,149,0.000
polling,150,0.000
polling,151,0.000
polling,152,0.000
polling,153,0.000
polling,154,0.000
polling,155,0.000
polling,156,0.000
polling,157,0.000
polling,158,0.000
polling,159,0.000
polling,160,0.000
polling,161,0.000
polling,162,0.000
polling,163,0.000
polling,164,0.000
polling,165,0.000
polling,166,0.000
polling,167,0.000
polling,168,0.000
polling,169,0.000
polling,170,0.000
polling,171,0.000
polling,172,0.000
polling,173,0.000
polling,174,0.000
polling,175,0.000
polling,176,0.000
polling,177,0.000
polling,178,0.000
polling,179,0.000
polling,180,0.000
polling,181,0.000
polling,182,0.000
polling,183,0.000
polling,184,0.000
polling,185,0.000
polling,186,0.000
polling,187,0.000
polling,188,0.000
polling,189,0.000
polling,190,0.000
polling,191,0.000
polling,192,0.000
polling,193,0.000
polling,194,0.000
polling,195,0.000
polling,196,0.000
polling,197,0.000
polling,198,0.000
polling,199,0.000
polling,200,0.000
polling,201,0.000
polling,202,0.000
polling,203,0.000
polling,204,0.000
polling,205,0.000
polling,206,0.000
polling,207,0.000
polling,208,0.000
polling,209,0.000
polling,210,0.000
polling,211,0.000
polling,212,0.000
polling,213,0.000
polling,214,0.000
polling,215,0.000
polling,216,0.000
polling,217,0.000
polling,218,0.000
polling,219,0.000
polling,220,0.000
polling,221,0.000
polling,222,0.000
polling,223,0.000
polling,224,0.000
polling,225,0.000
polling,226,0.000
polling,227,0.000
polling,228,0.000
polling,229,0.000
polling,230,0.000
polling,231,0.000
polling,232,0.000
polling,233,0.000
polling,234,0.000
polling,235,0.000
polling,236,0.000
polling,237,0.000
polling,238,0.000
polling,239,0.000
polling,240,0.000
polling,241,0.000
polling,242,0.000
polling,243,0.000
polling,244,0.000
polling,245,0.000
polling,246,0.000
polling,247,0.000
polling,248,0.000
polling,249,0.000
polling,250,0.000
polling,251,0.000
polling,252,0.000
polling,253,0.000
polling,254,0.000
polling,255,0.000
polling,256,0.000
polling,257,0.000
polling,258,0.000
polling,259,0.000
polling,260,0.000
polling,261,0.000
polling,262,0.000
polling,263,0.000
polling,264,0.000
polling,265,0.000
polling,266,0.000
polling,267,0.000
polling,268,0.000
polling,269,0.000
polling,270,0.000
polling,271,0.000
polling,272,0.000
polling,273,0.000
polling,274,0.000
polling,275,0.000
polling,276,0.000
polling,277,0.000
polling,278,0.000
polling,279,0.000
polling,280,0.000
polling,281,0.000
polling,282,0.000
polling,283,0.000
polling,284,0.000
polling,285,0.000
polling,286,0.000
polling,287,0.000
polling,288,0.000
polling,289,0.000
polling,290,0.000
polling,291,0.000
polling,292,0.000
polling,293,0.000
polling,294,0.000
polling,295,0.000
polling,296,0.000
polling,297,0.000
polling,298,0.000
polling,299,0.000
polling,300,0.000
polling,301,0.000
polling,302,0.000
polling,303,0.000
polling,304,0.000
polling,305,0.000
polling,306,0.000
polling,307,0.000
polling,308,0.000
polling,309,0.000
polling,310,0.000
polling,311,0.000
polling,312,0.000
polling,313,0.000
polling,314,0.000
polling,315,0.000
polling,316,0.000
polling,317,0.000
polling,318,0.000
polling,319,0.000
polling,320,0.000
polling,321,0.000
polling,322,0.000
polling,323,0.000
polling,324,0.000
polling,325,0.000
polling,326,0.000
polling,327,0.000
polling,328,0.000
polling,329,0.000
polling,330,0.000
polling,331,0.000
polling,332,0.000
polling,333,0.000
polling,334,0.000
polling,335,0.000
polling,336,0.000
polling,337,0.000
polling,338,0.000
polling,339,0.000
polling,340,0.000
polling,341,0.000
